tier,type,customer_name,amount_2018
Revenue,Recurring,,6156
Revenue,Recurring,,6152
Revenue,Recurring,,6057
Revenue,Recurring,,5918
Revenue,Recurring,,5805
Revenue,Recurring,,5796
Revenue,Recurring,,5738
Revenue,Recurring,,5720
Revenue,Recurring,,5706
Revenue,Recurring,,5670
Revenue,Recurring,,5553
Revenue,Recurring,,5544
Revenue,Recurring,,5486
Revenue,Recurring,,5391
Revenue,Recurring,,5324
Revenue,Recurring,,5216
Revenue,Recurring,,5198
Revenue,Recurring,,5058
Revenue,Recurring,,5049
Revenue,Recurring,,5027
Revenue,Recurring,,5018
Revenue,Recurring,,5013
Revenue,Recurring,,4932
Revenue,Recurring,,4932
Revenue,Recurring,,4617
Revenue,Recurring,,4514
Revenue,Recurring,,4262
Revenue,Recurring,,4253
Revenue,Recurring,,4023
Revenue,Recurring,,4001
Revenue,Recurring,,3969
Revenue,Recurring,,3965
Revenue,Recurring,,3884
Revenue,Recurring,,3803
Revenue,Recurring,,3677
Revenue,Recurring,,3555
Revenue,Recurring,,3510
Revenue,Recurring,,3371
Revenue,Recurring,,3231
Revenue,Recurring,,3078
Revenue,Recurring,,3024
Revenue,Recurring,,2916
Revenue,Recurring,,2880
Revenue,Recurring,,2831
Revenue,Recurring,,2759
Revenue,Recurring,,2754
Revenue,Recurring,,2678
Revenue,Recurring,,2660
Revenue,Recurring,,2651
Revenue,Recurring,,2529
Revenue,Recurring,,2516
Revenue,Recurring,,2444
Revenue,Recurring,,2039
Revenue,Recurring,,1845
Revenue,Recurring,,1814
Revenue,Recurring,,1679
Revenue,Recurring,,1238
Revenue,Recurring,,446
Revenue,Recurring,,310208
Revenue,Recurring,,240539
Revenue,Recurring,,169934
Revenue,Recurring,,168750
Revenue,Recurring,,154413
Revenue,Recurring,,141750
Revenue,Recurring,,121500
Revenue,Recurring,,108000
Revenue,Recurring,,87750
Revenue,Recurring,,87750
Revenue,Recurring,,87750
Revenue,Recurring,,81000
Revenue,Recurring,,81000
Revenue,Recurring,,77625
Revenue,Recurring,,76784
Revenue,Recurring,,67500
Revenue,Recurring,,67500
Revenue,Recurring,,67500
Revenue,Recurring,,67500
Revenue,Recurring,,67500
Revenue,Recurring,,67500
Revenue,Recurring,,67500
Revenue,Recurring,,67500
Revenue,Recurring,,67500
Revenue,Recurring,,61875
Revenue,Recurring,,60750
Revenue,Recurring,,57713
Revenue,Recurring,,54000
Revenue,Recurring,,48600
Revenue,Recurring,,47250
Revenue,Recurring,,47250
Revenue,Recurring,,40500
Revenue,Recurring,,34650
Revenue,Recurring,,33750
Revenue,Recurring,,22500
Revenue,Recurring,,20250
Revenue,Recurring,,16875
Revenue,Recurring,,10125
Revenue,Recurring,,5400
Revenue,Recurring,,5063
Revenue,Recurring,,3375
Revenue,Recurring,,3375
Revenue,Recurring,,3375
Revenue,Recurring,,3375
Revenue,Recurring,,0
Revenue,Recurring,,-51593
Revenue,Recurring,,-107483
